Genre,Trascodifica
adult standards,afro-american
afro psych,afro-american
afro-funk,afro-american
afrobeat,afro-american
afrobeat fusion,afro-american
afrofuturism,afro-american
american primitive,afro-american
australian americana,afro-american
avant-garde,afro-american
ballroom,afro-american
bebop,afro-american
big band,afro-american
black americana,afro-american
boogie-woogie,afro-american
brit funk,afro-american
contemporary post-bop,afro-american
doo-wop,afro-american
funk,afro-american
gospel singers,afro-american
hammond organ,afro-american
harlem renaissance,afro-american
instrumental funk,afro-american
jam band,afro-american
modern funk,afro-american
new orleans funk,afro-american
rare groove,afro-american
spirituals,afro-american
swedish americana,afro-american
ambient,altro
calming instrumental,altro
comic,altro
compositional ambient,altro
disney,altro
library music,altro
lounge,altro
microtonal,altro
military cadence,altro
movie tunes,altro
austro-german modernism,classical
baroque,classical
classic soundtrack,classical
late romantic era,classical
alt z,electronic
alternative dance,electronic
aussietronica,electronic
australian dance,electronic
balearic,electronic
broken beat,electronic
chillwave,electronic
circuit,electronic
complextro,electronic
dark disco,electronic
deep german punk,electronic
deep italo disco,electronic
disco,electronic
downtempo,electronic
drum and bass,electronic
drumfunk,electronic
edm,electronic
ethnotronica,electronic
experimental club,electronic
forest psy,electronic
full on,electronic
future garage,electronic
german dance,electronic
glitch hop,electronic
gqom,electronic
greek downtempo,electronic
groove room,electronic
livetronica,electronic
new french touch,electronic
nu disco,electronic
portuguese experimental,electronic
purple sound,electronic
spacewave,electronic
uptempo hardcore,electronic
wonky,electronic
alternative americana,folk
alternative country,folk
american folk revival,folk
appalachian folk,folk
balkan brass,folk
bluegrass,folk
bluegrass gospel,folk
british folk,folk
cante flamenco,folk
canti alpini,folk
canzone napoletana,folk
celtic,folk
chanson,folk
contemporary country,folk
cosmic american,folk
cowboy western,folk
flamenco,folk
flamenco guitar,folk
folk,folk
folk siciliana,folk
freak folk,folk
free folk,folk
musica lombarda,folk
nashville sound,folk
neomelodici,folk
okinawan folk,folk
outlaw country,folk
abstract beats,hip hop
afroswing,hip hop
ambeat,hip hop
bassline,hip hop
bboy,hip hop
big beat,hip hop
birmingham grime,hip hop
boom bap,hip hop
boom bap espanol,hip hop
breakbeat,hip hop
brooklyn drill,hip hop
chicago drill,hip hop
chillhop,hip hop
downtempo bass,hip hop
drill and bass,hip hop
escape room,hip hop
florida drill,hip hop
focus beats,hip hop
francoton,hip hop
g funk,hip hop
german boom bap,hip hop
grime,hip hop
hip-hop experimental,hip hop
japanese chillhop,hip hop
melodic drill,hip hop
miami bass,hip hop
ninja,hip hop
otacore,hip hop
phonk,hip hop
scratch,hip hop
study beats,hip hop
turntablism,hip hop
uk drill,hip hop
underground boom bap,hip hop
beat poetry,indie
chamber psych,indie
italian alternative,indie
weirdcore,indie
afro-cuban percussion,latina
afrobeat brasileiro,latina
bandoneon,latina
boogaloo,latina
bossa nova,latina
brazilian percussion,latina
calypso,latina
chicha,latina
cuban funk,latina
cumbia,latina
latin alternative,latina
mambo,latina
mpb,latina
nova mpb,latina
nu-cumbia,latina
salsa,latina
beat italiano,pop
boy band,pop
canadian singer-songwriter,pop
canzone d'autore,pop
irish singer-songwriter,pop
italian library music,pop
new romantic,pop
permanent wave,pop
dancehall,reggae
dancehall queen,reggae
jamaican ska,reggae
jawaiian,reggae
old school dancehall,reggae
acoustic punk,rock
anti-folk,rock
art punk,rock
australian garage punk,rock
beatlesque,rock
british invasion,rock
dance-punk,rock
djent,rock
freakbeat,rock
grunge,rock
neo mellow,rock
neo-psychedelic,rock
psychobilly,rock
punk,rock
ska,rock
anime,world
arab folk,world
arab groove,world
australian indigenous,world
balafon,world
batida,world
didgeridoo,world
gumbe,world
maloya,world
south african alternative,world
world,world
world fusion,world
